Spiller id,Spillernavn,Fornavn,Etternavn,Alder,Nasjonalitet,Lag id,Lag navn,Posisjonslinje,Rolle,Kamper,Starter,Minutter,Rating,Mål,Målgivende,Skudd totalt,Skudd på mål,Pasninger totalt,Nøkkelpasninger,Pasningspresisjon,Taklinger,Blokkeringer,Brudd,Dueller totalt,Dueller vunnet,Driblinger forsøk,Driblinger vellykket,Frispark fått,Frispark gjort,Gule kort,Røde kort
36966,J. de Boer,Jan,de Boer,25.0,Netherlands,2142,Bryne,Goalkeeper,Goalkeeper,31,31,2712,6.67,0,0,,,826,1.0,45.6,1.0,,,15,11,1.0,,3,1.0,1,1
264378,S. Tangvik,Sander,Tangvik,23.0,Norway,331,Rosenborg,Goalkeeper,Goalkeeper,30,30,2700,7.13,0,0,,,866,,74.9,,,,14,13,,,5,,1,0
57429,M. Dyngeland,Mathias,Lønne Dyngeland,30.0,Norway,319,Brann,Goalkeeper,Goalkeeper,30,30,2700,6.75,0,0,,,1183,1.0,75.3,3.0,,,18,15,1.0,1.0,3,,1,0
39218,R. Jenssen,Ruben,Yttergård Jenssen,37.0,Norway,325,Tromso,Midfielder,Sentral midt,30,30,2700,7.21,2,7,12.0,6.0,1663,60.0,87.3,20.0,6.0,16.0,164,76,26.0,9.0,35,21.0,2,0
19492,J. Haugaard,Jakob,Let Haugaard,33.0,Denmark,325,Tromso,Goalkeeper,Goalkeeper,30,30,2700,6.85,0,0,,,1410,2.0,70.6,,,,19,18,1.0,1.0,12,,3,0
47770,F. Ottosson,Karl Filip,Ottosson,29.0,Sweden,332,Sandefjord,Midfielder,Sentral midt,30,30,2691,7.28,1,2,7.0,4.0,2357,43.0,88.1,48.0,16.0,24.0,121,70,8.0,6.0,7,21.0,3,0
39161,D. Ulvestad,Dan Peter,Ulvestad,36.0,Norway,320,Kristiansund BK,Defender,Stopper,30,30,2684,7.02,1,0,7.0,4.0,1627,2.0,89.3,18.0,37.0,31.0,154,98,2.0,2.0,11,9.0,1,0
151406,E. Saunes,Eirik,Franke Saunes,27.0,Norway,2142,Bryne,Midfielder,Kant,30,30,2633,7.02,1,3,18.0,11.0,1202,33.0,77.8,52.0,8.0,46.0,225,115,31.0,14.0,12,16.0,1,0
39055,N. Haikin,Nikita,Haikin,30.0,Russia,327,Bodo/Glimt,Goalkeeper,Goalkeeper,30,30,2618,6.91,0,0,,,878,,77.4,1.0,,,10,10,,,2,,1,0
1177,G. Valsvik,Gustav,Valsvik,32.0,Norway,324,Stromsgodset,Defender,Stopper,29,29,2610,7.24,2,1,21.0,8.0,1776,10.0,84.4,36.0,37.0,42.0,267,180,8.0,6.0,25,18.0,4,0
408223,Mamour Ndiaye,Mamour,Ndiaye,20.0,Senegal,333,Sarpsborg 08 FF,Goalkeeper,Goalkeeper,29,29,2610,7.03,0,0,,,866,4.0,57.2,3.0,,,40,34,2.0,1.0,5,1.0,2,1
38689,M. Koch,Menno,Koch,31.0,Netherlands,333,Sarpsborg 08 FF,Defender,Stopper,29,29,2604,7.06,0,2,8.0,2.0,1285,5.0,90.1,35.0,24.0,32.0,230,138,4.0,3.0,10,39.0,6,0
99538,L. Cornic,Leo Erik Jean,Cornic,24.0,Norway,325,Tromso,Defender,Back,29,29,2597,7.07,5,3,16.0,7.0,804,32.0,76.5,53.0,3.0,22.0,213,113,10.0,,28,41.0,5,0
314257,T. Guddal,Tobias,Kvalvågnes Guddal,23.0,Norway,325,Tromso,Forsvar,Stopper,0,0,2587,7.22,0,1,8.0,4.0,2320,4.0,90.5,33.0,15.0,55.0,238,150,18.0,11.0,15,33.0,4,0
180937,H. Falchener,Henrik,Sælebakke Falchener,22.0,Norway,759,Viking,Defender,Stopper,29,29,2578,7.41,6,0,27.0,13.0,1695,6.0,88.5,31.0,22.0,24.0,283,173,,,14,36.0,4,0
39340,H. Stengel,Herman,Sørby Stengel,30.0,Norway,324,Stromsgodset,Midfielder,Sentral midt,29,29,2575,7.03,3,1,14.0,8.0,1081,43.0,87.4,22.0,7.0,26.0,94,38,10.0,2.0,7,9.0,0,0
410596,S. Kristiansen,Stian,Kristiansen,26.0,Norway,332,Sandefjord,Defender,Stopper,29,29,2565,7.08,2,1,13.0,6.0,2111,9.0,85.5,16.0,24.0,41.0,268,158,12.0,9.0,52,34.0,4,0
94541,J. Bell,Joe,Zen Robert Bell,26.0,New Zealand,759,Viking,Midfielder,Sentral midt,29,28,2542,7.34,3,4,19.0,9.0,1701,42.0,86.8,62.0,7.0,38.0,254,138,28.0,15.0,40,29.0,5,0
39349,J. Karlstrøm,Jacob,Karlstrøm,28.0,Norway,329,Molde,Goalkeeper,Goalkeeper,28,28,2520,6.96,0,1,,,1032,1.0,75.6,,,,13,11,,,5,1.0,3,0
351483,F. Sjøvold,Fredrik,Sjøvold,22.0,Norway,327,Bodo/Glimt,Forsvar,Back,30,30,2516,7.29,3,4,16.0,8.0,1716,33.0,89.7,52.0,4.0,16.0,176,98,34.0,20.0,18,15.0,1,0
145953,E. Kornvig,Emil,Nestved Kornvig,25.0,Denmark,319,Brann,Midfielder,Sentral midt,29,29,2510,7.31,8,3,37.0,17.0,1327,30.0,81.5,48.0,6.0,29.0,371,197,47.0,22.0,79,48.0,8,0
416062,E. Helland,Eivind,Fauske Helland,20.0,Norway,319,Brann,Defender,Stopper,28,28,2504,6.98,0,1,7.0,3.0,2099,10.0,90.6,31.0,18.0,20.0,236,138,9.0,3.0,16,26.0,8,0
39036,E. Breivik,Emil,Varhaugvik Breivik,25.0,Norway,329,Molde,Midfielder,Sentral midt,28,28,2498,7.29,4,5,30.0,11.0,1341,45.0,81.6,65.0,9.0,37.0,274,125,46.0,16.0,30,33.0,8,0
128762,M. Woledzi,Maxwell,Woledzi,24.0,Ghana,2149,Fredrikstad,Defender,Stopper,29,28,2497,7.19,0,0,12.0,4.0,1422,7.0,89.2,69.0,21.0,52.0,257,160,45.0,23.0,21,20.0,4,0
161589,Duarte Moreira,Duarte Miguel,Ramos Moreira,24.0,Portugal,2142,Bryne,Midfielder,Spiss,32,29,2476,6.94,8,7,47.0,20.0,588,28.0,67.0,21.0,1.0,10.0,261,100,59.0,15.0,38,30.0,3,0
111329,L. Owusu,Leonard,Owusu,28.0,Ghana,2149,Fredrikstad,Midfielder,Sentral midt,29,28,2463,6.95,2,0,12.0,5.0,1453,8.0,87.5,42.0,8.0,15.0,194,101,28.0,17.0,28,20.0,6,0
1289,J. Haahr,Jacob,Haahr Steffensen,23.0,Denmark,2142,Bryne,Defender,Stopper,29,29,2461,6.92,1,0,8.0,2.0,1370,5.0,82.6,28.0,22.0,38.0,141,80,8.0,3.0,13,21.0,3,0
216765,V. Skjærvik,Vetle,Skjærvik,25.0,Norway,325,Tromso,Defender,Stopper,28,28,2460,7.11,2,1,7.0,2.0,1836,13.0,87.4,49.0,18.0,18.0,184,100,12.0,7.0,18,39.0,8,0
39276,M. Sandberg,Robert Marcus,Sandberg,35.0,Sweden,2159,Ham-Kam,Goalkeeper,Goalkeeper,27,27,2430,7.13,0,0,,,903,1.0,51.9,,,,19,18,,,3,,1,0
396407,J. Hjertø-Dahl,Jens,Hjertø-Dahl,20.0,Norway,325,Tromso,Midfielder,Sentral midt,30,28,2383,7.04,4,4,34.0,21.0,887,30.0,82.1,56.0,6.0,15.0,334,139,69.0,32.0,35,42.0,3,0
39058,F. Bjørkan,Fredrik André,Bjørkan,27.0,Norway,327,Bodo/Glimt,Defender,Back,29,29,2382,7.43,3,2,13.0,9.0,1974,32.0,90.1,46.0,7.0,20.0,249,140,74.0,36.0,51,19.0,1,0
48086,E. Haugan,Eirik,Haugan,28.0,Norway,329,Molde,Defender,Back,27,26,2365,7.19,0,0,10.0,2.0,2040,7.0,91.2,50.0,20.0,32.0,223,132,15.0,8.0,25,25.0,5,0
151166,D. Karlsbakk,Daniel,Seland Karlsbakk,22.0,Norway,333,Sarpsborg 08 FF,Midtbane,Kant,28,28,2360,7.1,18,1,57.0,38.0,372,20.0,73.8,8.0,3.0,4.0,250,90,40.0,16.0,33,49.0,4,0
375606,M. Tønnessen,Mathias,Tønnessen,22.0,Norway,2143,KFUM Oslo,Defender,Stopper,29,28,2360,7.29,0,1,12.0,1.0,1958,11.0,89.4,70.0,15.0,43.0,297,194,6.0,2.0,15,26.0,6,0
38772,L. Mares,Luc Katja Anne,Mares,29.0,Netherlands,2159,Ham-Kam,Defender,Stopper,26,26,2340,7.17,2,1,6.0,4.0,1285,10.0,87.4,64.0,26.0,33.0,184,118,13.0,9.0,14,21.0,4,0
265448,M. Farji,Marko Hussein,Farji,21.0,Norway,324,Stromsgodset,Midtbane,Kant,29,27,2336,7.04,9,4,46.0,24.0,652,36.0,73.0,14.0,2.0,8.0,262,111,112.0,51.0,33,30.0,6,0
269583,A. Ekeroth,Anton Noah Christian,Ekeroth,24.0,Sweden,2159,Ham-Kam,Defender,Back,29,27,2333,7.01,2,6,12.0,6.0,621,36.0,70.8,43.0,8.0,23.0,267,136,65.0,29.0,49,29.0,8,0
15910,N. Strunck,Nicklas,Strunck Jakobsen,26.0,Denmark,2142,Bryne,Midfielder,Sentral midt,28,28,2324,6.93,2,1,25.0,14.0,1031,19.0,83.6,32.0,9.0,24.0,153,78,7.0,2.0,27,23.0,5,0
138732,F. Dahl,Fredrik,Kristensen Dahl,26.0,Norway,324,Stromsgodset,Defender,Back,29,28,2323,6.98,2,3,7.0,4.0,1298,20.0,89.6,62.0,18.0,41.0,209,131,18.0,11.0,20,20.0,1,0
138736,A. Kiil Olsen,Aaron,Kiil Olsen,24.0,Norway,326,Valerenga,Defender,Stopper,28,26,2287,6.98,2,0,12.0,5.0,1464,4.0,87.3,22.0,22.0,22.0,154,97,9.0,6.0,22,13.0,2,0
1189,E. Ceïde,Emil,Konradsen Ceïde,24.0,Norway,331,Rosenborg,Attacker,Kant,28,26,2284,7.23,5,8,32.0,22.0,791,54.0,75.9,14.0,2.0,2.0,238,98,90.0,43.0,34,16.0,4,0
413662,Z. Smajlović,Zinedin,Smajlović,22.0,Bosnia and Herzegovina,332,Sandefjord,Forsvar,Stopper,26,25,2274,7.23,2,1,20.0,6.0,1794,12.0,84.2,34.0,20.0,32.0,224,135,32.0,21.0,21,20.0,7,0
39201,A. Scriven,Alfred Richard,Scriven,27.0,Kenya,2142,Bryne,Midfielder,Spiss,31,27,2265,6.89,3,4,31.0,15.0,833,28.0,68.3,62.0,6.0,25.0,663,291,109.0,42.0,70,70.0,7,0
127385,S. Hestnes,Simen,Hestnes,29.0,Norway,2143,KFUM Oslo,Midfielder,Sentral midt,26,26,2261,7.05,4,3,18.0,13.0,1182,32.0,81.9,46.0,5.0,27.0,186,80,16.0,7.0,20,40.0,2,1
16194,C. Lange,Carl,Lange,27.0,Denmark,326,Valerenga,Midfielder,Sentral midt,27,27,2261,6.97,1,2,21.0,7.0,1030,28.0,83.5,40.0,5.0,28.0,238,115,46.0,24.0,33,35.0,4,0
94819,E. Ødegaard,Emil,Gundelach Ødegaard,26.0,Norway,2143,KFUM Oslo,Goalkeeper,Goalkeeper,29,29,2258,6.72,0,0,,,954,2.0,61.3,2.0,,,16,15,1.0,1.0,6,,0,0
39073,J. Hauge,Jens Petter,Hauge,26.0,Norway,327,Bodo/Glimt,Attacker,Kant,28,27,2230,7.64,8,4,30.0,15.0,1614,58.0,84.2,35.0,2.0,3.0,226,117,103.0,48.0,27,10.0,3,0
313999,L. Sødal,Lars Erik,Sødal,23.0,Norway,2142,Bryne,Midfielder,Sentral midt,27,26,2224,6.79,0,0,12.0,4.0,994,16.0,80.3,62.0,7.0,22.0,241,130,16.0,4.0,23,45.0,7,0
48034,P. Kristian Bråtveit,Per Kristian,Worre Bråtveit,29.0,Norway,324,Stromsgodset,Goalkeeper,Goalkeeper,25,25,2219,7.13,0,0,,,935,,62.1,,,,15,15,,,2,,1,0
39064,P. Berg,Patrick,Berg,28.0,Norway,327,Bodo/Glimt,Midfielder,Sentral midt,28,25,2211,7.89,5,12,37.0,15.0,1546,76.0,87.7,63.0,6.0,26.0,161,90,22.0,12.0,10,25.0,2,0
39065,H. Evjen,Håkon,Evjen,25.0,Norway,327,Bodo/Glimt,Midfielder,Sentral midt,29,27,2190,7.33,4,4,17.0,8.0,843,42.0,82.1,67.0,2.0,13.0,207,125,54.0,32.0,20,5.0,3,0
39083,O. Bjørtuft,Odin,Lurås Bjørtuft,27.0,Norway,327,Bodo/Glimt,Defender,Stopper,28,25,2183,7.59,6,2,22.0,14.0,2525,13.0,94.5,22.0,10.0,14.0,174,104,4.0,4.0,13,20.0,2,0
406483,D. Tufekcic,David,Tufekcic,21.0,Norway,320,Kristiansund BK,Midfielder,Kant,29,26,2169,6.74,4,3,21.0,9.0,577,36.0,79.0,32.0,1.0,10.0,251,108,68.0,19.0,40,28.0,6,0
404175,Vinícius Nogueira,Vinícius,Nogueira de Oliveira,24.0,Brazil,326,Valerenga,Defender,Back,25,24,2168,7.13,2,3,13.0,7.0,899,34.0,79.7,50.0,11.0,23.0,260,140,49.0,24.0,43,42.0,5,0
2119,E. Patoulidis,Evangelos,Patoulidis,24.0,Belgium,332,Sandefjord,Midfielder,Kant,29,26,2162,7.13,5,5,36.0,21.0,673,36.0,83.1,41.0,,13.0,252,109,60.0,26.0,31,42.0,5,0
151240,J. Taaje,Jesper,Taaje,28.0,Norway,324,Stromsgodset,Defender,Stopper,26,25,2158,7.08,4,0,17.0,6.0,1351,3.0,89.7,29.0,22.0,39.0,199,125,6.0,4.0,7,11.0,5,0
48111,D. Islamović,Dino,Islamović,31.0,Montenegro,331,Rosenborg,Attacker,Spiss,27,24,2153,7.26,14,3,61.0,33.0,384,20.0,70.2,15.0,6.0,14.0,291,136,18.0,7.0,44,41.0,3,0
266127,M. Olsen,Marius,Berntsen Olsen,24.0,Norway,320,Kristiansund BK,Defender,Stopper,27,26,2145,6.71,1,0,5.0,3.0,1568,6.0,89.3,32.0,13.0,22.0,139,85,9.0,6.0,14,13.0,3,2
425317,O. Øhlenschlæger,Oskar,Øhlenschlæger,21.0,Denmark,2149,Fredrikstad,Midtbane,Sentral midt,28,25,2136,7.21,6,3,24.0,12.0,563,20.0,76.4,90.0,7.0,22.0,386,191,45.0,11.0,56,55.0,8,0
411649,F. Ardraa,Fredrik Pau,Vilaseca Ardraa,19.0,Norway,324,Stromsgodset,Attacker,Sentral midt,29,22,2130,6.87,2,3,26.0,9.0,750,23.0,85.7,44.0,3.0,18.0,215,107,37.0,20.0,28,30.0,5,0
303108,F. Ambina,Fidèle Brice,Ambina,24.0,Cameroon,326,Valerenga,Midfielder,Sentral midt,26,26,2126,7.12,4,4,22.0,9.0,990,23.0,80.6,56.0,9.0,32.0,300,159,25.0,14.0,56,61.0,6,1
266179,F. Pedersen,Fredrik Carson,Pedersen,23.0,Norway,332,Sandefjord,Defender,Back,26,23,2121,6.92,1,2,8.0,4.0,995,20.0,85.3,56.0,6.0,15.0,186,96,15.0,7.0,13,24.0,1,0
47663,G. Granath,Gustav Frans Vallentin,Granath,28.0,Sweden,2159,Ham-Kam,Defender,Stopper,27,23,2112,6.86,1,2,8.0,4.0,1045,7.0,81.7,24.0,18.0,19.0,187,104,20.0,16.0,5,17.0,1,1
15622,P. Christiansen,Peter,Buch Christiansen,26.0,Denmark,759,Viking,Attacker,Spiss,29,25,2107,7.21,14,2,54.0,30.0,282,17.0,64.4,21.0,1.0,10.0,222,72,30.0,8.0,31,40.0,1,0
405117,J. Hjorth,Jonas,Lange Hjorth,24.0,Norway,2143,KFUM Oslo,Defender,Back,27,25,2104,6.96,2,4,17.0,7.0,747,26.0,76.7,44.0,1.0,10.0,169,85,29.0,17.0,11,21.0,3,0
264384,M. Ceïde,Mikkel,Konradsen Ceïde,24.0,Norway,331,Rosenborg,Defender,Stopper,25,24,2100,6.78,0,0,,,1505,2.0,92.6,27.0,10.0,13.0,135,67,2.0,1.0,10,17.0,5,1
57296,V. Erlien,Vegard,Østraat Erlien,27.0,Norway,325,Tromso,Attacker,Kant,28,24,2097,7.14,9,4,53.0,24.0,483,19.0,76.0,22.0,1.0,10.0,194,71,53.0,17.0,18,25.0,1,0
356678,S. Sandal,Sverre,Hakami Sandal,22.0,Norway,2143,KFUM Oslo,Midtbane,Sentral midt,26,25,2095,7.04,3,3,15.0,7.0,1404,22.0,84.2,80.0,10.0,24.0,282,163,21.0,12.0,26,40.0,9,1
39066,F. Myhre,Felix,Horn Myhre,26.0,Norway,319,Brann,Midfielder,Sentral midt,24,23,2088,7.2,4,3,15.0,9.0,1007,34.0,83.8,36.0,4.0,14.0,214,109,63.0,30.0,29,22.0,4,0
197625,E. Guðmundsson,Eggert Aron,Guðmundsson,21.0,Iceland,319,Brann,Midfielder,Sentral midt,28,24,2087,7.14,5,5,19.0,13.0,918,29.0,76.8,49.0,4.0,15.0,252,121,59.0,28.0,38,21.0,1,0
39333,L. Vilsvik,Lars-Christopher Horst Jan,Vilsvik,37.0,Norway,324,Stromsgodset,Defender,Stopper,28,26,2073,6.91,2,3,9.0,4.0,1019,26.0,83.6,34.0,1.0,19.0,120,75,14.0,10.0,14,14.0,2,0
416083,S. Kilen,Sander,Hestetun Kilen,20.0,Norway,320,Kristiansund BK,Midtbane,Kant,0,0,2071,6.75,5,3,31.0,21.0,543,27.0,73.2,14.0,4.0,11.0,278,95,87.0,34.0,28,30.0,3,0
94983,D. Eid,Daniel Fritz,Eid,27.0,Norway,2149,Fredrikstad,Defender,Back,28,25,2066,7.1,1,3,15.0,8.0,642,23.0,66.4,40.0,18.0,21.0,199,105,12.0,1.0,16,21.0,5,0
310131,M. Rakneberg,Mikkel,Rakneberg,23.0,Norway,320,Kristiansund BK,Forsvar,Back,26,25,2064,6.89,0,2,10.0,3.0,1074,33.0,80.9,33.0,3.0,15.0,145,87,24.0,15.0,27,9.0,1,0
57267,P. Bizoza,Parfait,Bizoza,26.0,Burundi,328,Haugesund,Midfielder,Sentral midt,29,25,2054,6.57,0,1,11.0,5.0,909,9.0,84.1,30.0,7.0,12.0,224,102,26.0,15.0,31,40.0,3,0
437930,M. Dia,Madiodio,Dia,21.0,Senegal,328,Haugesund,Defender,Stopper,23,23,2048,7.07,1,0,12.0,5.0,1148,4.0,82.3,42.0,33.0,35.0,190,132,11.0,5.0,31,26.0,5,0
198962,D. Edvardsson,David Mikael,Edvardsson,23.0,Sweden,325,Tromso,Midfielder,Sentral midt,27,23,2047,7.1,3,2,17.0,10.0,1184,23.0,83.6,56.0,7.0,11.0,188,100,18.0,10.0,24,39.0,8,0
432675,W. Igor,Wilfred George,Igor,20.0,Nigeria,320,Kristiansund BK,Midfielder,Sentral midt,24,24,2037,6.74,1,1,8.0,3.0,805,7.0,82.9,53.0,10.0,27.0,211,108,23.0,13.0,14,32.0,6,0
133602,S. Sigurðarson,Stefán Ingi,Sigurðarson,24.0,Iceland,332,Sandefjord,Attacker,Spiss,27,25,2037,7.17,15,1,41.0,30.0,297,22.0,66.1,9.0,11.0,4.0,264,126,16.0,7.0,39,22.0,3,1
57247,E. Wichne,Eirik,Wichne,28.0,Norway,333,Sarpsborg 08 FF,Defender,Back,28,24,2033,7.0,0,3,11.0,4.0,985,52.0,83.5,46.0,5.0,13.0,200,110,24.0,16.0,34,22.0,4,0
57352,D. Hickson,David,Hickson Gyedu,28.0,Norway,2143,KFUM Oslo,Defender,Kant,27,26,2026,6.84,5,1,17.0,10.0,527,16.0,75.7,32.0,1.0,7.0,202,95,62.0,28.0,22,22.0,3,0
